SYMB,syl,son,cons,cont,delrel,lat,nas,strid,voi,sg,cg,ant,cor,distr,lab,hi,lo,back,front,round,tense,rtr,long,splng,stres,prim
m,-,+,+,+,0,-,+,-,+,-,-,+,-,0,+,-,-,-,-,-,0,-,-,-,0,0
p,-,-,+,-,-,-,-,-,-,-,-,+,-,0,+,-,-,-,-,-,0,-,-,-,0,0
b,-,-,+,-,-,-,-,-,+,-,-,+,-,0,+,-,-,-,-,-,0,-,-,-,0,0
β,-,-,+,+,0,-,-,-,+,-,-,+,-,0,+,-,-,-,-,-,0,-,-,-,0,0
f,-,-,+,+,0,-,-,+,-,-,-,+,-,0,+,-,-,-,-,-,0,-,-,-,0,0
v,-,-,+,+,0,-,-,+,+,-,-,+,-,0,+,-,-,-,-,-,0,-,-,-,0,0
n,-,+,+,+,0,-,+,-,+,-,-,+,+,-,-,-,-,-,-,-,0,-,-,-,0,0
t,-,-,+,-,-,-,-,-,-,-,-,+,+,-,-,-,-,-,-,-,0,-,-,-,0,0
d,-,-,+,-,-,-,-,-,+,-,-,+,+,-,-,-,-,-,-,-,0,-,-,-,0,0
t͡s,-,-,+,-,+,-,-,+,-,-,-,+,+,-,-,-,-,-,-,-,0,-,-,-,0,0
d͡z,-,-,+,-,+,-,-,+,+,-,-,+,+,-,-,-,-,-,-,-,0,-,-,-,0,0
s,-,-,+,+,0,-,-,+,-,-,-,+,+,-,-,-,-,-,-,-,0,-,-,-,0,0
z,-,-,+,+,0,-,-,+,+,-,-,+,+,-,-,-,-,-,-,-,0,-,-,-,0,0
ɾ,-,+,+,-,-,-,-,-,+,-,-,+,+,-,-,-,-,-,-,-,0,-,-,-,0,0
r,-,+,+,+,0,-,-,-,+,-,-,+,+,-,-,-,-,-,-,-,0,-,-,-,0,0
l,-,+,+,+,0,+,-,-,+,-,-,+,+,-,-,-,-,-,-,-,0,-,-,-,0,0
t͡ʃ,-,-,+,-,+,-,-,+,-,-,-,-,+,+,-,-,-,-,+,-,0,-,-,-,0,0
d͡ʒ,-,-,+,-,+,-,-,+,+,-,-,-,+,+,-,-,-,-,+,-,0,-,-,-,0,0
ʃ,-,-,+,+,0,-,-,+,-,-,-,-,+,+,-,-,-,-,+,-,0,-,-,-,0,0
ʒ,-,-,+,+,0,-,-,+,+,-,-,-,+,+,-,-,-,-,+,-,0,-,-,-,0,0
ɲ,-,+,+,+,0,-,+,-,+,-,-,-,-,0,-,+,-,-,+,-,0,-,-,-,0,0
ɕ,-,-,+,+,0,-,-,+,-,-,-,-,-,0,-,+,-,-,+,-,0,-,-,-,0,0
ʑ,-,-,+,+,0,-,-,+,+,-,-,-,-,0,-,+,-,-,+,-,0,-,-,-,0,0
ʎ,-,+,+,+,0,+,-,-,+,-,-,-,-,0,-,+,-,-,+,-,0,-,-,-,0,0
ŋ,-,+,+,+,0,-,+,-,+,-,-,-,-,0,-,+,-,+,-,-,0,-,-,-,0,0
